,li_group,head_age,nu18,n1864,n65,nu18smooth,n1864smooth,n65smooth
0,"(0.0, 0.25]",20.0,0.3141025641025641,0.5320512820512822,0.0,0.3301001251179605,1.6098500487904688,0.00013019469817653333
1,"(0.0, 0.25]",21.0,0.48701298701298706,0.6298701298701299,0.0,0.4029342966949538,1.6300082854975408,0.0003199686258201037
2,"(0.0, 0.25]",22.0,0.4894736842105264,0.631578947368421,0.0,0.4755058594137064,1.6499186168907793,0.0005066129657334566
3,"(0.0, 0.25]",23.0,0.4536082474226804,0.6855670103092784,0.0,0.5476797331097569,1.6696022977928693,0.0006893497333289811
4,"(0.0, 0.25]",24.0,0.5527638190954773,0.693467336683417,0.005025125628140704,0.6192893886020577,1.6890907212887998,0.0008674879885867191
5,"(0.0, 0.25]",25.0,0.6666666666666666,0.7333333333333334,0.0,0.6901823691074845,1.7084156735256006,0.0010401184738341816
6,"(0.0, 0.25]",26.0,0.6756756756756757,0.7837837837837838,0.0,0.760225480572102,1.72760778053792,0.0012047178764124436
7,"(0.0, 0.25]",27.0,0.8187134502923976,0.7368421052631582,0.0,0.8293055866752211,1.746685318627063,0.001358239333396604
8,"(0.0, 0.25]",28.0,0.951048951048951,0.7762237762237765,0.0,0.8973718589824551,1.7656383992033473,0.0014977505167641156
9,"(0.0, 0.25]",29.0,1.00625,0.79375,0.0,0.9644733277627131,1.784433710517228,0.001621048183154347
10,"(0.0, 0.25]",30.0,1.1239669421487604,0.8512396694214881,0.0,1.0308201154725827,1.802965014423421,0.0017278325052429095
11,"(0.0, 0.25]",31.0,1.251908396946565,0.8091603053435117,0.0076335877862595426,1.0967648066968374,1.8207773738874993,0.001819341723185125
12,"(0.0, 0.25]",32.0,1.1842105263157894,0.8771929824561404,0.008771929824561403,1.1416295206669869,1.8360912339312772,0.001777069393449139
13,"(0.0, 0.25]",33.0,1.36,0.79,0.0,1.1792798813303307,1.851259807563447,0.0017223042206252347
14,"(0.0, 0.25]",34.0,1.3853211009174309,0.926605504587156,0.009174311926605505,1.2103992284587082,1.8667082102404806,0.0016608668907440623
15,"(0.0, 0.25]",35.0,1.4368932038834952,0.854368932038835,0.0,1.2343837292257234,1.882725989062743,0.0015934368007437894
16,"(0.0, 0.25]",36.0,1.4375,0.90625,0.0,1.250065311714748,1.8989274437355994,0.0015055484790469707
17,"(0.0, 0.25]",37.0,1.53125,0.84375,0.0,1.256531353795665,1.9144319251468522,0.001371568626699968
18,"(0.0, 0.25]",38.0,1.380952380952381,0.9619047619047616,0.0,1.2534110399153593,1.9283737810378923,0.0011896410362502387
19,"(0.0, 0.25]",39.0,1.2653061224489797,0.9387755102040816,0.0,1.2404244543121588,1.9402343470366752,0.000990202228520311
20,"(0.0, 0.25]",40.0,1.2978723404255321,0.8404255319148937,0.0,1.2171364653806933,1.9502734914294948,0.000804838535928265
21,"(0.0, 0.25]",41.0,1.2580645161290325,1.021505376344086,0.0,1.183319099831491,1.9589470955244122,0.0006724514152425776
22,"(0.0, 0.25]",42.0,1.0957446808510638,1.0,0.0,1.1394070831948921,1.966655212164167,0.000654754092235352
23,"(0.0, 0.25]",43.0,1.2043010752688172,1.075268817204301,0.0,1.0865965987414403,1.9735716158022272,0.0007921910122070481
24,"(0.0, 0.25]",44.0,1.2,1.164705882352941,0.0,1.0273564201021894,1.9801148707373133,0.0010530288137388737
25,"(0.0, 0.25]",45.0,1.0549450549450552,1.1648351648351647,0.0,0.965036993908526,1.9863644140848695,0.001389088732537026
